1010101,4,50.00%,1.41
10001010,3,62.50%,0.91
10001010,3,62.50%,0.91
10111111,5,37.50%,2.51
10101110,3,62.50%,0.91
1010101,4,50.00%,1.41
1110111,6,25.00%,5.66
10100,4,50.00%,1.41
1010101,4,50.00%,1.41
1010101,4,50.00%,1.41
1001,4,50.00%,1.41
100101,5,37.50%,2.51
10000000,3,62.50%,0.91
1010101,4,50.00%,1.41
11010101,3,62.50%,0.91
1010101,4,50.00%,1.41
1010101,4,50.00%,1.41
1010101,4,50.00%,1.41
10010001,5,37.50%,2.51
10101010,4,50.00%,1.41
1010101,4,50.00%,1.41
10111010,5,37.50%,2.51
1010111,5,37.50%,2.51
1010101,4,50.00%,1.41
1010101,4,50.00%,1.41
1010101,4,50.00%,1.41
1110101,5,37.50%,2.51
1010101,4,50.00%,1.41
10111010,5,37.50%,2.51
10101110,3,62.50%,0.91
1011100,2,75.00%,0.63
1010101,4,50.00%,1.41
1011101,3,62.50%,0.91
1010101,4,50.00%,1.41
11111101,3,62.50%,0.91
10011101,3,62.50%,0.91
11010101,3,62.50%,0.91
1010101,4,50.00%,1.41
1010101,4,50.00%,1.41
1010101,4,50.00%,1.41
10000110,3,62.50%,0.91
10101,5,37.50%,2.51
10001,6,25.00%,5.66
1010000,4,50.00%,1.41
11000101,2,75.00%,0.63
1010100,3,62.50%,0.91
10000,5,37.50%,2.51
1010101,4,50.00%,1.41
10101001,4,50.00%,1.41
10010001,5,37.50%,2.51
1000110,3,62.50%,0.91
1001,4,50.00%,1.41
11100,3,62.50%,0.91
11101,4,50.00%,1.41
0,4,50.00%,1.41
10001010,3,62.50%,0.91
11101010,3,62.50%,0.91
11011101,2,75.00%,0.63
10110110,5,37.50%,2.51
101010,5,37.50%,2.51
1010101,4,50.00%,1.41
1011110,3,62.50%,0.91
10100010,5,37.50%,2.51
101010,5,37.50%,2.51
10111010,5,37.50%,2.51
10101010,4,50.00%,1.41
10111000,4,50.00%,1.41
1000100,2,75.00%,0.63
10001000,2,75.00%,0.63
